id,round,date,time,home_team,away_team,set1_h,set1_a,set2_h,set2_a,set3_h,set3_a,set4_h,set4_a,set5_h,set5_a,status,notes
1,1,26/10/2025,09:15,Caramel Dogs,Rolling Thunder,25,17,25,8,0,0,,,,,played,
2,1,26/10/2025,10:30,N/A,G/G,0,25,0,25,0,0,,,,,played,
3,1,26/10/2025,11:55,N/A,MSVC Rats,0,25,0,25,0,0,,,,,played,
4,1,26/10/2025,13:20,Fireball,Nata,25,16,25,21,0,0,,,,,played,
5,1,26/10/2025,14:45,Next Level,MSVC Beavers,25,16,25,8,0,0,,,,,played,
6,2,23/11/2025,09:15,Caramel Dogs,MSVC Rats,25,11,25,23,25,12,,,,,played,
7,2,23/11/2025,10:30,N/A,Rolling Thunder,0,25,0,25,0,25,,,,,played,
8,2,23/11/2025,11:55,Fireball,MSVC Beavers,25,14,25,13,25,15,,,,,played,
9,2,23/11/2025,13:20,G/G,Nata,12,25,12,25,9,25,,,,,played,
10,2,23/11/2025,14:45,N/A,Next Level,0,25,0,25,0,25,,,,,played,
11,3,30/11/2025,09:15,Fireball,N/A,25,0,25,0,25,0,,,,,played,
12,3,30/11/2025,10:30,Caramel Dogs,Next Level,17,25,25,11,25,15,24,26,15,11,played,
13,3,30/11/2025,11:55,G/G,MSVC Beavers,25,21,16,25,14,25,25,21,13,15,played,
14,3,30/11/2025,13:20,N/A,Nata,0,25,0,25,0,25,,,,,played,
15,3,30/11/2025,14:45,Rolling Thunder,MSVC Rats,23,25,15,25,25,27,,,,,played,
16,4,18/01/2026,10:00,Nata,MSVC Beavers,25,15,25,16,25,18,,,,,played,
18,4,18/01/2026,11:30,Caramel Dogs,Fireball,12,25,22,25,25,16,23,25,,,played,
19,4,18/01/2026,13:00,Rolling Thunder,Next Level,16,25,11,25,23,25,,,,,played,
21,4,18/01/2026,14:30,MSVC Rats,G/G,25,23,25,10,24,26,26,24,,,played,
23,5,25/01/2026,10:00,Next Level,G/G,25,19,25,18,25,18,,,,,played,
25,5,25/01/2026,11:30,MSVC Rats,MSVC Beavers,21,25,25,22,25,18,18,25,17,15,played,
26,5,25/01/2026,14:30,Nata,Caramel Dogs,25,14,25,9,25,19,,,,,played,
27,5,25/01/2026,13:00,Rolling Thunder,Fireball,6,25,16,25,22,25,,,,,played,
28,7,08/03/2026,10:00,Rolling Thunder,G/G,,,,,,,,,,,scheduled,
31,7,08/03/2026,11:30,MSVC Rats,Fireball,,,,,,,,,,,scheduled,
32,7,08/03/2026,13:00,Next Level,Nata,,,,,,,,,,,scheduled,
34,7,08/03/2026,14:30,Caramel Dogs,MSVC Beavers,,,,,,,,,,,scheduled,
35,8,29/03/2026,10:00,Nata,MSVC Rats,,,,,,,,,,,scheduled,
36,8,29/03/2026,11:30,Fireball,Next Level,,,,,,,,,,,scheduled,
38,8,29/03/2026,13:00,G/G,Caramel Dogs,,,,,,,,,,,scheduled,
39,8,29/03/2026,14:30,MSVC Beavers,Rolling Thunder,,,,,,,,,,,scheduled,
41,6,15/02/2026,16:15,MSVC Rats,Next Level,25,19,25,16,18,25,25,17,,,played,
42,6,01/02/2026,09:15,Nata,Rolling Thunder,25,17,25,11,25,18,,,,,played,
44,6,01/02/2026,14:45,Fireball,G/G,25,22,25,21,25,20,,,,,played,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
46,9,,,N/A,Caramel Dogs,0,25,0,25,0,25,,,,,played,
46,9,,,N/A,MSVC Rats,0,25,0,25,0,25,,,,,played,
46,9,,,G/G,N/A,25,0,25,0,25,0,,,,,played,
46,9,,,N/A,MSVC Beavers,0,25,0,25,0,25,,,,,played,
46,9,,,Nata,N/A,25,0,25,0,25,0,,,,,played,
46,9,,,MSVC Beavers,N/A,25,0,25,0,25,0,,,,,played,
46,9,,,N/A,Next Level,0,25,0,25,0,25,,,,,played,
46,9,,,N/A,N/A,0,0,0,0,0,0,,,,,played,
46,9,,,N/A,Caramel Dogs,0,25,0,25,0,25,,,,,played,
46,9,,,N/A,Fireball,0,25,0,25,0,25,,,,,played,
46,9,,,N/A,Rolling Thunder,0,25,0,25,0,25,,,,,played,
